Shoot-out no. ,Year,Round,Pen,Player name,Team,Opponent,Number,Result,Goal in game,Player start min,Foot,Run up length,Run up speed,Kick Height,Kick Direction,Kick Speed,Goalkeeper direction correct,How goalkeeper saves,Direction of miss
1,1982,Semi-Final,1,Alain Giresse,France,West Germany,12,Goal,Y,1,R,long,,low,left,,wrong,,
1,1982,Semi-Final,2,Manfred Kaltz,West Germany,France,20,Goal,N,1,R,long,,low,right,,wrong,,
1,1982,Semi-Final,3,Manuel Amoros,France,West Germany,2,Goal,N,1,R,short,,high,right,,wrong,,
1,1982,Semi-Final,4,Paul Breitner,West Germany,France,3,Goal,N,1,R,long,,high,centre,,wrong,,
1,1982,Semi-Final,5,Dominique Rocheteau,France,West Germany,18,Goal,N,1,R,long,,low,right,,wrong,,
1,1982,Semi-Final,6,Uli Stielike,West Germany,France,15,Miss,N,1,R,short,,high,left,,right,hand,
1,1982,Semi-Final,7,Didier Six,France,West Germany,19,Miss,N,1,L,long,,low,left,,right,feet,
1,1982,Semi-Final,8,Pierre Littbarski,West Germany,France,7,Goal,Y,1,R,long,,high,right,,right,,
1,1982,Semi-Final,9,Michel Platini,France,West Germany,10,Goal,Y(pen),1,R,long,,low,right,,wrong,,
1,1982,Semi-Final,10,Karl-Heinz Rummenigge,West Germany,France,11,Goal,Y,97,R,long,,low,right,,wrong,,
1,1982,Semi-Final,11,Maxime Bossis,France,West Germany,4,Miss,N,1,R,long,,low,left,,right,hand,
1,1982,Semi-Final,12,Horst Hrubesch,West Germany,France,9,Goal,N,73,R,long,,low,right,,wrong,,
2,1986,Quarter-Final,1,Sócrates,Brazil,France,18,Miss,N,1,R,short,,high,left,,right,hand,
2,1986,Quarter-Final,2,Yannick Stopyra,France,Brazil,19,Goal,N,1,R,long,,high,centre,,wrong,,
2,1986,Quarter-Final,3,Alemão,Brazil,France,15,Goal,N,1,R,short,,low,right,,right,,
2,1986,Quarter-Final,4,Manuel Amoros,France,Brazil,2,Goal,N,1,R,long,stutter,high,right,,right,,
2,1986,Quarter-Final,5,Zico,Brazil,France,10,Goal,N,72,R,short,,low,centre,,wrong,,
2,1986,Quarter-Final,6,Bruno Bellone,France,Brazil,16,Goal,N,101,L,long,,low,right,,right,,
2,1986,Quarter-Final,7,Branco,Brazil,France,17,Goal,N,1,L,short,,high,left,,wrong,,
2,1986,Quarter-Final,8,Michel Platini,France,Brazil,10,Miss,Y,1,R,short,,high,left,,wrong,,over
2,1986,Quarter-Final,9,Júlio César,Brazil,France,14,Miss,N,1,R,short,,low,left,,right,,wide
2,1986,Quarter-Final,10,Luis Fernández,France,Brazil,9,Goal,N,1,R,short,,low,left,,wrong,,
3,1986,Quarter-Final,1,Klaus Allofs,West Germany,Mexico,19,Goal,N,1,L,long,,high,left,,wrong,,
3,1986,Quarter-Final,2,Manuel Negrete,Mexico,West Germany,22,Goal,N,1,L,short,,low,right,,wrong,,
3,1986,Quarter-Final,3,Andreas Brehme,West Germany,Mexico,3,Goal,N,1,L,long,,low,right,,wrong,,
3,1986,Quarter-Final,4,Fernando Quirarte,Mexico,West Germany,3,Miss,N,1,R,long,,low,centre,,right,feet,
3,1986,Quarter-Final,5,Lothar Matthäus,West Germany,Mexico,8,Goal,N,1,R,long,,low,left,,right,,
3,1986,Quarter-Final,6,Raúl Servín,Mexico,West Germany,17,Miss,N,1,R,long,,low,right,,right,hand,
3,1986,Quarter-Final,7,Pierre Littbarski,West Germany,Mexico,7,Goal,N,115,R,long,,low,left,,right,,
4,1986,Quarter-Final,1,Juan Antonio Señor,Spain,Belgium,7,Goal,Y,46,R,short,,low,left,,wrong,,
4,1986,Quarter-Final,2,Nico Claesen,Belgium,Spain,16,Goal,N,1,R,long,stutter,low,right,,wrong,,
4,1986,Quarter-Final,3,Eloy,Spain,Belgium,20,Miss,N,63,R,short,,low,left,,right,hand,
4,1986,Quarter-Final,4,Enzo Scifo,Belgium,Spain,8,Goal,N,1,R,long,,high,centre,,wrong,,
4,1986,Quarter-Final,5,Chendo,Spain,Belgium,15,Goal,N,1,R,long,,high,left,,right,,
4,1986,Quarter-Final,6,Hugo Broos,Belgium,Spain,19,Goal,N,83,R,long,,high,left,,wrong,,
4,1986,Quarter-Final,7,Emilio Butragueño,Spain,Belgium,9,Goal,N,1,R,long,,high,left,,right,,
4,1986,Quarter-Final,8,Patrick Vervoort,Belgium,Spain,22,Goal,N,1,L,short,,low,centre,,wrong,,
4,1986,Quarter-Final,9,Víctor,Spain,Belgium,5,Goal,N,1,R,long,,high,left,,wrong,,
4,1986,Quarter-Final,10,Leo van der Elst,Belgium,Spain,15,Goal,N,106,R,long,,high,centre,,wrong,,
5,1990,2nd Round,1,Gheorghe Hagi,Romania,Republic of Ireland,10,Goal,N,1,L,short,,high,right,,right,,
5,1990,2nd Round,2,Kevin Sheedy,Republic of Ireland,Romania,11,Goal,N,1,L,long,,high,centre,,wrong,,
5,1990,2nd Round,3,D?nu? Lupu,Romania,Republic of Ireland,11,Goal,N,76,R,short,,low,right,,right,,
5,1990,2nd Round,4,Ray Houghton,Republic of Ireland,Romania,8,Goal,N,1,R,short,,low,right,,wrong,,
5,1990,2nd Round,5,Iosif Rotariu,Romania,Republic of Ireland,5,Goal,N,1,L,long,,high,left,,right,,
5,1990,2nd Round,6,Andy Townsend,Republic of Ireland,Romania,13,Goal,N,1,L,long,,low,left,,wrong,,
5,1990,2nd Round,7,Ioan Lupescu,Romania,Republic of Ireland,21,Goal,N,1,R,long,,high,left,,right,,
5,1990,2nd Round,8,Tony Cascarino,Republic of Ireland,Romania,10,Goal,N,22,L,long,,low,centre,,right,,
5,1990,2nd Round,9,Daniel Timofte,Romania,Republic of Ireland,16,Miss,N,96,R,short,,low,left,,right,hand,
5,1990,2nd Round,10,David O'Leary,Republic of Ireland,Romania,12,Goal,N,95,R,short,,high,right,,wrong,,
6,1990,Quarter-Final,1,José Serrizuela,Argentina,Yugoslavia,18,Goal,N,1,R,long,,low,right,,wrong,,
6,1990,Quarter-Final,2,Dragan Stojkovic,Yugoslavia,Argentina,10,Miss,N,1,R,long,,high,left,,wrong,,over
